구분,노선명,연장,폭,시점,종점,주요경유지,관리기관전화번호,관리기관명,데이터기준일자
겸용도로비분리,국고개길1R,0.59,2.5~4.2,중동 236-1 교차로,버드나무길교차로,충남역사박물관,041-840-8507,공주시청,2024-08-27
겸용도로비분리,국고개길1L,0.59,3.0~3.9,버드나무길교차로,중동 67-10 교차로,중동성당,041-840-8507,공주시청,2024-08-27
겸용도로분리,용당길2R,0.53,1.8~2.8,충청남도경제진흥원 남부지소,금성동 171-2 황새바위 후문,공주여중,041-840-8507,공주시청,2024-08-27
겸용도로비분리,용당길1L,0.25,2.8~3.0,금성동 171-2 교차로,교동 41-19,교동초교,041-840-8507,공주시청,2024-08-27
겸용도로분리,용당길2L,0.37,1.1~3.2,교동 41-19,교동 86-6,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,백제큰길2R,21.44,3.0~3.2,정지산터널,부여군 경계,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,백제큰길1L,2.7,2.9~3.3,웅진동 695-1,정지산터널,,041-840-8507,공주시청,2024-08-27
겸용도로분리,신관로(1)1R,0.55,3.4~3.5,코아루 앞 교차로,우신약국,신관중앙교차로,041-840-8507,공주시청,2024-08-27
겸용도로비분리,신관로(1)2R,0.14,4.4,우신약국,공주종합버스터미널,공주종합버스터미널,041-840-8507,공주시청,2024-08-27
겸용도로분리,신관로(1)1L,0.68,3.0~3.3,공주종합버스터미널 앞 교차로,코아루 앞 교차로,신관중앙교차로,041-840-8507,공주시청,2024-08-27
자전거 전용도로,쌍신생태공원1,1.7,4,쌍신동 403,신관동 582,금강쌍신공원,041-840-8507,공주시청,2024-08-27
겸용도로비분리,정안천길1,2.6,2.6,신관동 582,정안생태공원,정안생태공원,041-840-8507,공주시청,2024-08-27
겸용도로분리,차돌배기길1R,0.46,4.4,탄천면 덕지리 755 남동측 삼거리,탄천면 덕지리 756 남서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,탄천산업단지길1L,0.79,5.4,탄천면 안영리 866 교차로,탄천면 안영리 174-15 삼거리,삼화페인트공업 공주공장 코엠,041-840-8507,공주시청,2024-08-27
겸용도로분리,탄천산업단지길2L,0.33,4.5,탄천면 덕지리 755 북서측 삼거리,탄천면 안영리 866 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,탄천산업단지길3L,0.79,4.5,탄천면 안영리 872 북동측 삼거리,탄천면 덕지리 754 삼거리,정의산업 공주제2공장 삼화페인트공업 공주공장,041-840-8507,공주시청,2024-08-27
겸용도로분리,탄천산업단지길4L,0.33,4.6,탄천면 안영리 873 남동측 삼거리,탄천면 안영리 873 북서측 교차로,삼화페인트공업 공주공장,041-840-8507,공주시청,2024-08-27
겸용도로분리,와룡길1R,1.43,3.5~5.0,이인면 신영리 682-12 남서측,이인면 신영리 644-34 지하통로,공주역,041-840-8507,공주시청,2024-08-27
겸용도로분리,와룡길1L,0.98,5.0~6.8,이인면 신영리 189-7,이인면 신영리 710-1,공주역,041-840-8507,공주시청,2024-08-27
겸용도로분리,와룡길2R,1.66,3.5,이인면 신영리 278-6 북동측,공주역교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로5R,0.3,1.5,공주월송지구 흥화하브아파트 남서측 교차로,공주월송지구흥화하브아파트 북서측 교차로,흥화하브아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로6R,2,1.6,공주대학교 정문 건너편,장기농공단지교차로,공주월송지구,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로6L,2,1.6,장기농공단지교차로,공주대학교 정문,새뜸현대4차아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로7R,0.64,1.5,공주월송LH천년나무3단지아파트 남동측 교차로,공주월송지구흥화하브아파트 남서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로7L,0.64,1.5,공주월송지구흥화하브아파트 남서측 교차로,공주월송LH천년나무3단지아파트 남동측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로분리,무령로8L,1.4,1.5,월송동 681 북측 삼거리,신월초교차로,공주월송LH천년나무3단지아파트,041-840-8507,공주시청,2024-08-27
겸용도로분리,신금1길3R,0.2,1.5,쿠스코 앞 교차로,공주월송지구흥화하브아파트 남서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길5L,1.64,3.5,탄천면 안영리 873 북서측 교차로,탄천면 덕지리 756 남서측,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길5R,1.64,3.5,탄천면 덕지리 756 남서측,탄천면 안영리 873 북서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길6L,0.5,3.5,탄천면 안영리 867 북서측 삼거리,탄천면 덕지리 752 서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길6R,0.5,3.5,탄천면 덕지리 752 서측 교차로,탄천면 안영리 867 북서측 삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길9L,0.25,3.5,탄천면 안영리 875 북측 삼거리,탄천면 안영리 875 서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길9R,0.25,3.5,탄천면 안영리 875 서측 교차로,탄천면 안영리 875 북측 삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길10L,0.3,3.5,탄천면 안영리 874 북서측 교차로,탄천면 안영리 874 남동측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길10R,0.3,3.5,탄천면 안영리 874 남동측 교차로,탄천면 안영리 874 북서측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길11L,0.3,3.5,탄천면 안영리 873 북서측 교차로,탄천면 안영리 873 남동측 삼거리,삼화페인트공업 공주공장,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길12L,0.3,3.5,탄천면 안영리 871 북서측 교차로,탄천면 안영리 871 남동측 삼거리,삼화페인트공업 공주공장 정의산업 공주제2공장 코엠,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길12R,0.3,3.5,탄천면 안영리 871 남동측 삼거리,탄천면 안영리 871 북서측 교차로,삼화페인트공업 공주공장 정의산업 공주제2공장 코엠,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길13L,0.22,3.5,탄천면 덕지리 755 북서측 삼거리,탄천면 덕지리 755 남동측 삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길13R,0.22,3.5,탄천면 덕지리 755 남동측 삼거리,탄천면 덕지리 755 북서측 삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,탄천산업단지길14L,0.3,3.5,탄천면 덕지리 755 북서측 삼거리,탄천면 안영리 877 남동측 교차로,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,차돌배기길2R,0.1,3.5,탄천면 안영리 877 남동측 교차로,탄천면 덕지리 755 남동측 삼거리,,041-840-8507,공주시청,2024-08-27
겸용도로비분리,웅진로2L,0.55,3.0~6.0,시내버스터미널 건너편,연문교차로,공산성,041-840-8507,공주시청,2024-08-27
겸용도로비분리,장기로2,2.72,4,세종시 경계,송선교차로,,041-840-8507,공주시청,2024-08-27
