id,name,category,type_detail,region,sido,sigungu,address,lat,lng,operator,operator_level,tel,homepage,facilities,source,operator_verified
camp-31337,장호비치캠핑장,카라반,카라반,강원,강원특별자치도,삼척시,강원도 삼척시 근덕면 삼척로 2116,37.2845599975936,129.312407676348,삼척시청,기초자치단체,033-576-0884~5,http://www.janghocamping.kr/,"34,전기시설,상하수도시설,샤워실",공유누리(행정안전부),Y
camp-31596,속초국민여가캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,속초시,강원도 속초시 해오름로 186 (조양동),38.1901488385933,128.603530464425,속초시시설관리공단,지방공기업·출자출연기관,033-633-3171,http://reserve.sokchosiseol.or.kr/homepage/info.jsp,"일반(45면), 카라반(11면),화장실, 취사시설, 샤워실",공유누리(행정안전부),Y
camp-gc-002,속초해변 국민여가 캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,속초시,강원특별자치도 속초시 해오름로 177 (조양동),,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31191,국토정중앙천문대야영장,일반야영장,일반야영장,강원,강원특별자치도,양구군,강원도 양구군 남면 국토정중앙로 127,38.0689383071614,128.029676833022,양구군청,기초자치단체,033-480-2586,http://yanggu.ticketplay.zone/portal/index,"일반야영장(38면), 산책로, 개수대, 화장실, 샤워실,",공유누리(행정안전부),Y
camp-31354,지경국민여가캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,양양군,강원도 양양군 현남면 지경리 24-8,37.9225757870945,128.80102877363,강원도 양양군,광역자치단체,033-671-4568,http://jgcamp.kr/,"16,화장실1,샤워실1",공유누리(행정안전부),Y
camp-gc-003,상동 선바위골 국민여가캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,영월군,강원특별자치도 영월군 상동읍 선바위길 72,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31281,성동힐링센터 휴(休)영월캠프,글램핑,글램핑,강원,강원특별자치도,영월군,강원도 영월군 동강로 1488-23,37.2691307650981,128.526327550226,영월군청,기초자치단체,033-375-8870,https://www.sd.go.kr/reserve/contents.do?key=2170&,"10,계곡 물놀이,청소년체험시설",공유누리(행정안전부),Y
camp-31315,영월 동강오토캠핑장,일반야영장,일반야영장,강원,강원특별자치도,영월군,강원도 영월군 영월읍 둥글바위길 33,37.2022123690093,128.503905847789,영월군청,기초자치단체,070-4213-8188,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2226&viewType=read01,"34,화장실, 샤워실, 개수대",공유누리(행정안전부),Y
camp-31378,펫힐링 달빛동물원 캠핑장,일반야영장,일반야영장,강원,강원특별자치도,영월군,강원도 영월군 남면 나뱅이길 61,37.1719793494061,128.403317685681,영월군청,기초자치단체,033-373-0995,http://moonlightzoo.kr/,"14,동물원, 화장실, 샤워실, 개수대",공유누리(행정안전부),Y
camp-31413,간현관광지 캠핑장,일반야영장,일반야영장,강원,강원특별자치도,원주시,강원도 원주시 지정면 소금산길 26,37.364893353687,127.832545469278,원주시청,기초자치단체,033-731-4088,https://seilplace.rweb.kr/hotel/view/419,"일반야영장(69면),계곡 물놀이, 산책로, 운동장, 강/물놀이, 청소년체험시설",공유누리(행정안전부),Y
camp-gc-004,진동리 국민여가캠핑장 by zapza,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,인제군,강원특별자치도 인제군 기린면 진동리 618번지,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-30948,도사곡자연휴양림 야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 사북읍 사북리 447-15,37.2244832071129,128.792047440598,정선군시설관리공단,지방공기업·출자출연기관,033-560-3456,https://jsimc.or.kr/layout/basic/page/page1/page11.html,"27면,계곡, 화장실, 샤워실, 취사장",공유누리(행정안전부),Y
camp-30950,동강전망휴양림 오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,정선군,강원도 정선군 신동읍 동강로 916-212,37.2596231798626,128.607900180023,정선군시설관리공단,지방공기업·출자출연기관,033-560-3464,https://jsimc.or.kr/layout/basic/page/page1/page09.html,"67면,상하수도,전기,화장실,취사실,샤워실",공유누리(행정안전부),Y
camp-31253,바람하늘공원 야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 화암면 화암동굴길 12-2(어천),37.3499915587359,128.789145562287,정선군시설관리공단,지방공기업·출자출연기관,033-560-3418,https://www.jsimc.or.kr/layout/basic/page/page1/page04.html,"43,화장실, 샤워실, 취사장",공유누리(행정안전부),Y
camp-31300,아우라지관광지,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 여량면 여량리 186-1,37.4756873123939,128.724057502335,정선군시설관리공단,지방공기업·출자출연기관,033-562-9595,https://www.jeongseon.go.kr/tour/jeongseontour/attractions?contentSeq=289&mode=read,"38,화장실, 샤워실",공유누리(행정안전부),Y
camp-31341,정선국민여가캠핑장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 정선읍 회동리 170,37.4113037742769,128.585478182784,정선군시설관리공단,지방공기업·출자출연기관,033-560-3454,https://www.watchticket.co.kr/html/main/main_hoedong.asp,"52,화장실, 샤워실, 취사장",공유누리(행정안전부),Y
camp-31342,정선군생태체험학습장야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 정선읍 광하리 16,37.3601890269313,128.625048023534,정선군시설관리공단,지방공기업·출자출연기관,033-560-3470,https://jsimc.or.kr/layout/basic/page/page1/page14.html,"52,화장실, 샤워실, 취사장",공유누리(행정안전부),Y
camp-31348,졸드루야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 북평면 졸드루길 31-57,37.4519271432062,128.636709873761,정선군청,기초자치단체,1544-9053,https://www.jeongseon.go.kr/tour/jeongseontour/attractions,"30,화장실, 샤워실",공유누리(행정안전부),Y
camp-31390,항골계곡 야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 북평면 북평리 444,37.473561960293,128.663880879362,정선군청,기초자치단체,010-6370-4431,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3485&viewType=read03,"21,화장실, 샤워실",공유누리(행정안전부),Y
camp-31396,화암약수 야영장,일반야영장,일반야영장,강원,강원특별자치도,정선군,강원도 정선군 화암면 약수길 1300,37.3273754038048,128.784522250714,정선군시설관리공단,지방공기업·출자출연기관,033-560-3413,https://www.watchticket.co.kr/html/main/main_hwaam.asp,"65,화장실, 샤워실, 취사장",공유누리(행정안전부),Y
camp-31296,쉬리마을농어촌관광휴양단지야영장,일반야영장,일반야영장,강원,강원특별자치도,철원군,강원도 철원군 김화읍 호국로 6442,38.2477296903109,127.413902784047,철원군청,기초자치단체,033-458-7200,http://swiripark.com/,"129,상수도, 전기, 화장실, 개수대, 샤워실",공유누리(행정안전부),Y
camp-31361,철원 평화마을 서울캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,철원군,강원도 철원군 근북면 유곡리 512,38.3012153940902,127.398926959583,서울특별시,광역자치단체,033-455-3904,https://blog.naver.com/seoul_camp/221499418105,"일반(20면), 오토(5면),하수도, 전기, 화장실, 개수대, 샤워실, 운동장, 주차장",공유누리(행정안전부),Y
camp-31395,화강 수변 오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,철원군,강원도 철원군 김화읍 학사리 680,38.2510092039194,127.409402618945,철원군청,기초자치단체,033-458-7200,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3545&viewType=read05,"72,상수도, 전기, 화장실, 개수대, 샤워실",공유누리(행정안전부),Y
camp-gc-005,구곡폭포 국민여가 캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,춘천시,강원특별자치도 춘천시 남산면 강촌구곡길 324,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31258,별 헤는 마을,카라반,카라반,강원,강원특별자치도,춘천시,강원도 춘천시 서면 당림리 280-2,37.8229422456452,127.62557910469,춘천시청,기초자치단체,033-261-3174,http://www.xn--oi2bl1gq7lezgmg408a.kr/,"5,전기시설,상하수도시설,화장실,샤워실",공유누리(행정안전부),Y
camp-gc-006,청평사 국민여가 캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,춘천시,강원특별자치도 춘천시 북산면 오봉산길 630,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31092,태백고원자연휴양림 야영장,일반야영장,일반야영장,강원,강원특별자치도,태백시,강원도 태백시 철암동 머리골길 153,37.1235765388425,129.06038315343,태백시청,기초자치단체,033-582-7238,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030022,"야영데크(13면),전기시설,화장실(샤워실),취사시설",공유누리(행정안전부),Y
camp-31201,꿈의대화캠핑장,일반야영장,일반야영장,강원,강원특별자치도,평창군,강원도 평창군 대화면 해뜰마을길 49-7,37.5032101514537,128.450721243877,평창군청,기초자치단체,033-334-2277,http://www.꿈의대화캠핑장.kr/contents/main.html,"34면,샤워실,화장실,개수대,족구장,농구장,풋살장",공유누리(행정안전부),Y
camp-gc-007,평창 국민여가캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,평창군,강원특별자치도 평창군 방림면 뇌운계곡로 829,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31377,팔봉산관광지 야영장,자동차야영장,자동차야영장,강원,강원특별자치도,홍천군,강원도 홍천군 서면 한치골길 1122-48,37.701594129998,127.695095178406,홍천군청,기초자치단체,033-430-4281,https://www.hongcheon.go.kr/palbong/index.do,"10,화장실,취사시설,산책로,수상레저,어린이놀이시설",공유누리(행정안전부),Y
camp-31393,홍천강 오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,홍천군,강원도 홍천군 북방면 굴지강변로 322,37.6902817115058,127.787233263755,홍천군청,기초자치단체,033-430-2498,https://www.hongcheon.go.kr/tour/contents.do?key=1884,"10,화장실,취사시설,",공유누리(행정안전부),Y
camp-31394,홍천강 자라바위 오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,홍천군,강원도 홍천군 서면 팔봉산로 857,37.6884606943286,127.685237911411,홍천군청,기초자치단체,033-430-2497,https://www.hongcheon.go.kr/tour/contents.do?key=1886,"53면,등산로, 놀이터",공유누리(행정안전부),Y
camp-31238,돌집야영장,자동차야영장,자동차야영장,강원,강원특별자치도,화천군,강원도 화천군 간동면 춘양로 777-9,38.0226318121843,127.805881550525,화천군청,기초자치단체,033-442-0072,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=859&viewType=read01,"7,개수대1동,화장실2동,샤워실2동",공유누리(행정안전부),Y
camp-gc-008,만산동 국민여가 캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,화천군,강원특별자치도 화천군 상서면 구운리 1174,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31600,평화의댐 오토캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,화천군,강원도 화천군 화천읍 비수구미길 145-145,38.2065287349941,127.850106777323,화천군청,기초자치단체,033-440-4533,http://eco-school.ihc.go.kr/hb/camp/sub01_01_01,"야영데크(28면), 쇄석(22면),화장실, 샤워실",공유누리(행정안전부),Y
camp-31399,화천에코스쿨 생태체험장,자동차야영장,자동차야영장,강원,강원특별자치도,화천군,강원도 화천군 화천읍 동촌리 2421번지,38.1572309398535,127.859568679942,화천군청,기초자치단체,033-440-2318,http://eco-school.ihc.go.kr/hb/camp/sub01_01_02,"야영데크(19면), 생태체험장, 정수기, 화장실, 샤워장",공유누리(행정안전부),Y
camp-gc-009,솔밭체육공원오토캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,강원,강원특별자치도,횡성군,강원특별자치도 횡성군 공근면 도곡로14번길 61,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31405,횡성 별빛마을 서울캠핑장,자동차야영장,자동차야영장,강원,강원특별자치도,횡성군,강원도 횡성군 강림면 주천강로 488,37.3496761015525,128.158094055337,서울특별시청,광역자치단체,033-342-4586,https://blog.naver.com/seoul_camp/221498996186,"일반(20면),계곡 물놀이, 주차장",공유누리(행정안전부),Y
camp-31073,주작산자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,강진군,전남광주통합특별시 강진군 신전면 주작산길 262,34.5172938372484,126.698928345477,강진군청,기초자치단체,061-430-3306,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030060,"야영데크(10면),계곡,산책로, 샤워장",공유누리(행정안전부),Y
camp-31367,청자촌 오토캠핑장,카라반,카라반,광주전남,전남광주통합특별시,강진군,전남광주통합특별시 강진군 대구면 청자촌길 42-5,34.5074848108347,126.803502244148,강진군청,기초자치단체,061-434-9939,http://gjcamping.co/,"카라반 56개,산책로, 수영장, 운동시설, 어린이 놀이터 등",공유누리(행정안전부),Y
camp-31101,팔영산자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,고흥군,전남광주통합특별시 고흥군 영남면 팔영로 1347-418,34.6213312685923,127.440137082806,고흥군청,기초자치단체,061-830-5430,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030069,"야영데크(7면), 파고라(2동),화장실, 취사시설",공유누리(행정안전부),Y
camp-gc-016,광산구 국민여가 친환경 오토캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,광주전남,전남광주통합특별시,광산구,광주광역시 광산구 탑동길 345 (지산동),,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-30830,광양백운산자연휴양림 야영장,카라반,카라반,광주전남,전남광주통합특별시,광양시,전남광주통합특별시 광양시 옥룡면 백계로 337,35.0516442275016,127.598529150769,광양시청,기초자치단체,061-797-2655,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030061,"카라반(8동),생태숲, 목재문화체험장, 황토길, 산책로, 운동장",공유누리(행정안전부),Y
camp-gc-019,백운제 농어촌테마공원 자동차 야영장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,광주전남,전남광주통합특별시,광양시,전라남도 광양시 봉강면 지곡길 212,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31434,나주박물관 야외체험장,일반야영장,일반야영장,광주전남,전남광주통합특별시,나주시,전남광주통합특별시 나주시 반남면 신촌리 277,34.9156939113134,126.657645405741,나주시청,기초자치단체,061-330-7804,https://naju.museum.go.kr/html/kr/,",",공유누리(행정안전부),Y
camp-31533,영산강 승촌보캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,남구,전남광주통합특별시  남구 승촌동 577,35.0652532625051,126.760854845473,광주남구청,기초자치단체,061-333-9638,https://camp.xticket.kr/web/main?shopEncode=a1535c44b7b5b3ab38fd902f0c58f8600f1a57e45999ac4b1a7b8c321f1d2df5,"캠핑장데크(53면),전기,온수,놀이터,산책로",공유누리(행정안전부),Y
camp-31244,무안황토갯벌랜드 오토캠핑장,자동차야영장,자동차야영장,광주전남,전남광주통합특별시,무안군,전남광주통합특별시 무안군 해제면 만송로 36,35.1019282532193,126.333510615049,무안군청,기초자치단체,061-450-5636,https://www.muan.go.kr/getbol/camping_ground/facilities_guide/camping_ground,"37,상.하수도, 전기, 화장실, 샤워실",공유누리(행정안전부),Y
camp-31403,회산백련지 오토캠핑장,카라반,카라반,광주전남,전남광주통합특별시,무안군,전남광주통합특별시 무안군 일로읍 백련로 333,34.8600888592086,126.5298980948,무안군청,기초자치단체,061-283-1325,https://www.muan.go.kr/lotus,"20,상.하수도, 전기, 화장실, 취사시설, 샤워실",공유누리(행정안전부),Y
camp-31067,제암산자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,보성군,전남광주통합특별시 보성군 웅치면 대산길 330,34.7005044506699,126.985507239988,보성군청,기초자치단체,061-852-4434,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030090,"야영데크(57면),물놀이터, 숲속교육관, 족구장,모험시설, 잔디광장",공유누리(행정안전부),Y
camp-31601,광주시민의 숲 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,북구,전남광주통합특별시 북구 월출동 968번지,35.2340462989893,126.867098626959,광주북구청,기초자치단체,062-613-6467,https://www.gwangju.go.kr/envi/contentsView.do?pageId=envi42,"일반야영장(38면),어린이놀이시설",공유누리(행정안전부),Y
camp-31295,순천국민여가캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,순천시,전남광주통합특별시 순천시 서면 청소년수련원길 170,35.0438824466924,127.4744953028,순천시청,기초자치단체,061-749-8948,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030058,"22,강/물놀이,수영장,농어촌체험시설",공유누리(행정안전부),Y
camp-31026,순천자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,순천시,전남광주통합특별시 순천시 서면 청소년수련원길 170,35.0438824466924,127.4744953028,순천시청,기초자치단체,061-749-8950,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030058,"노지(19면),야외수영장, 다목적실, 식당",공유누리(행정안전부),Y
camp-31350,주암 오토캠핑장,자동차야영장,자동차야영장,광주전남,전남광주통합특별시,순천시,전남광주통합특별시 순천시 주암면 구산강변길 22,35.0698618425535,127.237927163709,순천시청,기초자치단체,061-752-6661,http://sjcamping.co.kr/main/,"40,샤워장, 개수대, 화장실 등",공유누리(행정안전부),Y
camp-31028,신안자연휴양림 캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,신안군,전남광주통합특별시 신안군 자은면 자은서부2길 508-77,34.8797156936462,125.995472381426,신안군청,기초자치단체,061-240-3262,,"노지(15면), 카라반(2면),잔디광장, 테마공원, 수석정원, 뮤지엄파크, 휴게데크, 조개박물관, 식물원",공유누리(행정안전부),Y
camp-30979,봉황산자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,여수,전남광주통합특별시 여수 돌산 대복길 160,34.6147023710522,127.761799891216,여수시도시관리공단,지방공기업·출자출연기관,061-643-9180,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030097,"야영데크(24면),세미나실, 산책로",공유누리(행정안전부),Y
camp-31306,여수굴전여가캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,여수시,전남광주통합특별시 여수시 돌산읍 돌산로 3017-15,34.6923861765461,127.764986118721,여수시청,기초자치단체,1588-3896,http://yeosucamping.co.kr,"대형6개면, 중형16개면, 캠핑카형2개면,산책로,운동장",공유누리(행정안전부),Y
camp-31324,웅천친수공원 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,여수시,전남광주통합특별시 여수시 웅천동 1692,34.7471658478015,127.66828388205,여수시청,기초자치단체,061-685-3314,http://ok.yeosu.go.kr/ok/stay/woongcheon/reservation/page.ok,"데크45개면, 노지24개면,산책로,해수욕",공유누리(행정안전부),Y
camp-31165,가마미야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,영광군,전남광주통합특별시 영광군 홍농읍 계마길 120,35.3966094378935,126.407765065895,영광군청,기초자치단체,"061-350-5413, 356-1020",http://www.gamamibeach.co.kr/,"텐트(42면),야영데크, 해수욕, 워터파크, 샤워장",공유누리(행정안전부),Y
camp-31409,F1 오토캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,영암군,전남광주통합특별시 영암군 삼호읍 삼포리 1894,34.7303509056001,126.417549531497,영암군청,기초자치단체,070-4227-7788,https://www.koreacircuit.kr:442/web,"자동차야영장사이트(40면), 카라반(6면),",공유누리(행정안전부),Y
camp-gc-020,영암군 국민여가 캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,광주전남,전남광주통합특별시,영암군,전라남도 영암군 영암읍 회문리 산 1번지,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31392,홍길동테마파크 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,장성군,전남광주통합특별시 장성군 황룡면 홍길동로 431,35.3186207091425,126.726557828707,장성군청,기초자치단체,061-394-7274,https://www.jangseong.go.kr/home/honggildong,"데크 대형 20개(약7m*4.3m), 소형 5개(약7m*3.5m),야외집회장 300㎡, 대피소 1동, 취사장 5동, 세면장 4동, 화장실 3동, 대여용 비품(스크린)",공유누리(행정안전부),Y
camp-gc-021,정남진리조트 국민여가캠핑장,일반야영장,일반야영장/자동차야영장/글램핑/카라반,광주전남,전남광주통합특별시,장흥군,전라남도 장흥군 부산면 심천공원길 25-27,,,,,,,,고캠핑 전국 야영장 등록현황(한국관광공사),N
camp-31355,진도풍경오토캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,진도군,전남광주통합특별시 진도군 의신면 의신사천길 15-21,34.4655656827971,126.294452328707,진도군청,기초자치단체,061-543-2002,https://www.jindo.go.kr/sambyeolcho/sub/0202.php,"일반(22면),공동취사장, 공중샤워장, 산림욕장",공유누리(행정안전부),Y
camp-31561,함평나비마을 서울캠핑장,자동차야영장,자동차야영장,광주전남,전남광주통합특별시,함평군,전남광주통합특별시 함평군 함평읍 함장로 730,35.0387639839859,126.488425151881,서울특별시청,광역자치단체,061-324-6251,https://blog.naver.com/seoul_camp/221494081147,"가족캠핑장(자동차야영장 20면),산책로,낚시,해수욕,수영장,청소년체험시설,농어촌체험시설",공유누리(행정안전부),Y
camp-31463,땅끝오토캠핑장,일반야영장,일반야영장,광주전남,전남광주통합특별시,해남군,전남광주통합특별시 해남군 송지면 갈산길 25-15,34.3094904882346,126.521068963475,해남군청,기초자치단체,061-534-0830,https://autocamp.haenam.go.kr/main/index.html,"자동차야영장사이트(46면), 카라반(16면), 개인카라반사이트(4면),취사시설1동,화장실2동,샤워장2동,음수대3,테이블,바베큐장",공유누리(행정안전부),Y
camp-31465,땅끝황토나라테마촌,일반야영장,일반야영장,광주전남,전남광주통합특별시,해남군,전남광주통합특별시 해남군 송지면 땅끝해안로 1730,34.3210534850907,126.518672051136,해남군청,기초자치단체,061-533-9822,https://www.hwangtocamping.com/main/index.html,"객실 16개,산책로,운동장,농어촌체험시설",공유누리(행정안전부),Y
camp-31115,흑석산자연휴양림 야영장,일반야영장,일반야영장,광주전남,전남광주통합특별시,해남군,전남광주통합특별시 해남군 계곡면 산골길 306,34.6709346791467,126.616996672633,해남군청,기초자치단체,061-530-5738,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030045,"야영데크(13면),숲속의집(객식), 유아숲체험원, 족욕장, 수변쉼터 등",공유누리(행정안전부),Y
camp-31318,오류캠핑장,카라반,카라반,대구경북,경상북도,경주시,경상북도 경주시 감포읍 감포로 382-7,35.8211119929113,129.508559346661,경주시시설관리공단,지방공기업·출자출연기관,054-750-8600,https://camping.gyeongju.go.kr/index.jsp,"28,놀이터, 세척장",공유누리(행정안전부),Y
camp-31227,대가야농촌문화체험특구 캠핑장,일반야영장,일반야영장,대구경북,경상북도,고령군,경상북도 고령군 대가야읍 신남로 61,35.7121608914981,128.265211880325,고령군청,기초자치단체,054-954-5279,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=6768&viewType=read01,"일반야영장(96면),관리동, 음식점, 화장실",공유누리(행정안전부),Y
camp-31228,대가야역사테마관광지 캠핑장,일반야영장,일반야영장,대구경북,경상북도,고령군,경상북도 고령군 고령읍 대가야로 1216,35.7200822547337,128.259677049373,고령군청,기초자치단체,054-950-7005,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=719&viewType=read01,"25,화장실, 취사실, 샤워실",공유누리(행정안전부),Y
camp-31265,부례관광지,카라반,카라반,대구경북,경상북도,고령군,경상북도 고령군 우곡면 우곡강변길 672,35.6721568755329,128.359528908316,고령군청,기초자치단체,054-955-2332,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1396&viewType=read01,"18,화장실, 취사실, 샤워실",공유누리(행정안전부),Y
