id,name,type,operator,operator_class,operator_level,sido,sigungu,region,address,lat,lng,tel,homepage,price,facilities,source
camp-30872,국립복주산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,철원군,강원,강원도 철원군 근남면 하오재로 818,38.1437571939266,127.47325215093,033-458-9426,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0110,,"숙박시설(24개),산책로, 체험프로그램(3개)",공유누리(행정안전부)
camp-30892,국립용화산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,춘천시,강원,강원도 춘천시 사북면 사여골길 294,38.0136972379422,127.759461041414,033-243-9261,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0222,,"숙박시설(23개),산림레포츠,산책로",공유누리(행정안전부)
camp-30893,국립용화산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,춘천시,강원,강원도 춘천시 사북면 사여골길 294,38.0136972379422,127.759461041414,033-243-9261,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0222,,"야영장(30면),산림레포츠,산책로",공유누리(행정안전부)
camp-31082,춘천숲자연휴양림,국·공립 휴양림,㈜삼도D＆C,기타(위탁·민간),,강원특별자치도,춘천시,강원,강원도 춘천시 동산면 종자리로 224-104,37.7477317466907,127.74250348182,033-264-1156,http://ccforest.or.kr/,,"숲속의집(4동), 휴양관(8실),매점, 수영장, 샤워실, 야외공연장, 운동장, 등산로, 식당",공유누리(행정안전부)
camp-31083,춘천숲자연휴양림 야영장,자동차야영장,㈜삼도D＆C,기타(위탁·민간),,강원특별자치도,춘천시,강원,강원도 춘천시 동산면 종자리로 224-104,37.7477317466907,127.74250348182,033-264-1156,http://ccforest.or.kr/,,"야영데크(30면),매점, 수영장, 샤워실, 야외공연장, 운동장, 등산로, 식당",공유누리(행정안전부)
camp-30862,국립두타산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,평창군,강원,강원도 평창군 진부면 아차골길 132,37.5597957918476,128.576052845613,033-334-8815,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0243,,"숙박시설(21개),산책로, 체험프로그램(11개)",공유누리(행정안전부)
camp-30863,국립두타산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,평창군,강원,강원도 평창군 진부면 아차골길 132,37.5597957918476,128.576052845613,033-334-8815,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0243,,"야영장(20면),산책로, 체험프로그램(11개)",공유누리(행정안전부)
camp-31102,평창자연휴양림,국·공립 휴양림,평창군산림조합,기타(위탁·민간),,강원특별자치도,평창군,강원,강원도 평창군 봉평면 팔송로 285,37.609538522546,128.303522308289,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,,"체험관(11실),세미나실, 운동장, 산책로, 강당",공유누리(행정안전부)
camp-31103,평창자연휴양림 야영장,카라반,평창군산림조합,기타(위탁·민간),,강원특별자치도,평창군,강원,강원도 평창군 봉평면 팔송로 285,37.609538522546,128.303522308289,033-339-9028,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030003,,"카라반(2동),세미나실, 운동장, 산책로, 강당",공유누리(행정안전부)
camp-30812,가리산자연휴양림,국·공립 휴양림,홍천군산림조합,기타(위탁·민간),,강원특별자치도,홍천군,강원,강원도 홍천군 두촌면 가리산길 426,37.8656358003531,127.981149812639,033-435-6034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,,"산막(21동), 휴양관(9실), 소형산막(9동),산책로, 풋살장, 계곡",공유누리(행정안전부)
camp-30813,가리산자연휴양림 야영장,자동차야영장,홍천군산림조합,기타(위탁·민간),,강원특별자치도,홍천군,강원,강원도 홍천군 두촌면 가리산길 426,37.8656358003531,127.981149812639,033-435-6034,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,,"아영데크(34면),산책로, 풋살장, 계곡",공유누리(행정안전부)
camp-30877,국립삼봉자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,홍천군,강원,강원도 홍천군 내면 삼봉휴양길 276,37.857592849398,128.463836308046,033-435-8536,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0107,,"야영장(42면),산책로, 체험프로그램(9개)",공유누리(행정안전부)
camp-30876,국립삼봉자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,홍천군,강원,강원도 홍천군 내면 삼봉휴양길 276,37.857592849398,128.463836308046,033-435-8536,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0107,,"숙박시설(25개),산책로, 체험프로그램(9개)",공유누리(행정안전부)
camp-30923,국립화천숲속야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,화천군,강원,강원도 화천군 간동면 배후령길 1144,38.0103067173771,127.797555507496,033-441-4466,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0116,,"야영장(43면),반려견동반데크,산책로, 체험프로그램(14개)",공유누리(행정안전부)
camp-30915,국립청태산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,강원특별자치도,횡성군,강원,강원도 횡성군 둔내면 청태산로 610,37.5290788642057,128.296864344811,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,,"숙박시설(44개),숲속수련장(2), 수영장(회의실), 체험프로그램(24개)",공유누리(행정안전부)
camp-30916,국립청태산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,강원특별자치도,횡성군,강원,강원도 횡성군 둔내면 청태산로 610,37.5290788642057,128.296864344811,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,,"야영장(28면),숲속수련장(2), 수영장(회의실), 체험프로그램(24개)",공유누리(행정안전부)
camp-30899,국립유명산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경기도,가평군,서울인천경기,경기도 가평군 설악면 유명산길 79-53,37.5929398560249,127.491057285213,031-589-5487,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0101,,"숙박시설(54개),산림복합체험센터,자생식물원, 체험프로그램(37개)",공유누리(행정안전부)
camp-30900,국립유명산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경기도,가평군,서울인천경기,경기도 가평군 설악면 유명산길 79-53,37.5929398560249,127.491057285213,031-589-5487,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0101,,"야영장(83면),산림복합체험센터,자생식물원, 체험프로그램(37개)",공유누리(행정안전부)
camp-30883,국립아세안자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경기도,양주시,서울인천경기,경기도 양주시 백석읍 기산로 472,37.7738232870256,126.942177966596,031-871-2796,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0104,,"숙박시설(23개),아세안10개국 체험,산책로, 다목적광장",공유누리(행정안전부)
camp-30874,국립산음자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경기도,양평군,서울인천경기,경기도 양평군 단월면 고북길 347,37.5961359272912,127.575206387113,031-774-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0103,,"숙박시설(49개),반려견동반놀이터,산책로, 회의실(2), 체험프로그램(15개)",공유누리(행정안전부)
camp-30875,국립산음자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경기도,양평군,서울인천경기,경기도 양평군 단월면 고북길 347,37.5961359272912,127.575206387113,031-774-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0103,,"야영장(43면),반려견동반놀이터,산책로",공유누리(행정안전부)
camp-30904,국립중미산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경기도,양평군,서울인천경기,경기도 양평군 옥천면 중미산로 1152,37.5880186276992,127.454612413803,031-771-7166,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0108,,"숙박시설(21개),산책로, 체험프로그램(15개)",공유누리(행정안전부)
camp-30905,국립중미산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경기도,양평군,서울인천경기,경기도 양평군 옥천면 중미산로 1152,37.5880186276992,127.454612413803,031-771-7166,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0108,,"야영장(38면),산책로, 체험프로그램(15개)",공유누리(행정안전부)
camp-31006,설매재자연휴양림,국·공립 휴양림,개인,기타(위탁·민간),,경기도,양평군,서울인천경기,경기도 양평군 옥천면 용천로 510,37.5568615337883,127.509357487925,031-772-5955,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030004,,"통나무집(9동), 휴양관(3실), 구름의집(9동), 산장(2실),대운동장, 족구장, 대강당, 한식당, 이벤트홀, 수영장",공유누리(행정안전부)
camp-31007,설매재자연휴양림 야영장,자동차야영장,개인,기타(위탁·민간),,경기도,양평군,서울인천경기,경기도 양평군 옥천면 용천로 510,37.5568615337883,127.509357487925,031-772-5955,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID04030004,,"노지(25면), 야영데크(45면),산책로,수영장",공유누리(행정안전부)
camp-31185,구라이골 캠핑장,글램핑,운산리영농조합법인,기타(위탁·민간),,경기도,포천시,서울인천경기,경기도 포천시 창수면 운산리 237-15,38.058740666756,127.204890133942,031-536-0008,http://www.guraicamp.kr/,,"10,화장실, 샤워실, 매점, 산책로, 수영장, 현장담당 : 010-9159-6019",공유누리(행정안전부)
camp-30896,국립운악산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경기도,포천시,서울인천경기,경기도 포천시 화현면 화동로 184,37.884394969565,127.302770602561,031-534-6300,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0224,,"야영장(25면),산책로, 회의실(1), 체험프로그램(16개)",공유누리(행정안전부)
camp-31556,포천이동생태공원 캠핑장,일반야영장,이동면 주민자치위원회,기타(위탁·민간),,경기도,포천시,서울인천경기,경기도 포천시 이동면 성장로1289번길 63,38.0381664887229,127.366450451156,031-538-4598,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3286&viewType=read01,,"일반야영장(16면),화장실, 샤워실, 매점",공유누리(행정안전부)
camp-31161,학동야영장,자동차야영장,한려해상국립공원,국가기관,,경상남도,거제시,부산경남,경상남도 거제시 동부면 거제대로 981,34.7770626322178,128.64308689974,055-635-5421,https://reservation.knps.or.kr/information/campInfo.action?seqId=B021001,,"자돵차(84면), 카라반(11면),샤워장,개수대,전기,탐방로",공유누리(행정안전부)
camp-30850,국립남해편백자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상남도,남해군,부산경남,경상남도 남해군 삼동면 금암로 658,34.7521639093945,128.020132097077,055-867-7881,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,,"숙박시설(35개),산림복합체험센터, 산책로, 체험프로그램(28개)",공유누리(행정안전부)
camp-30851,국립남해편백자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상남도,남해군,부산경남,경상남도 남해군 삼동면 금암로 658,34.7521639093945,128.020132097077,055-867-7881,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0192,,"야영장(20면),산림복합체험센터, 산책로, 체험프로그램(28개",공유누리(행정안전부)
camp-31127,내원자동차야영장,자동차야영장,지리산국립공원,국가기관,,경상남도,산청군,부산경남,경상남도 산청군 삼장면 대포리 산 106-2,35.2967791924206,127.812455486326,055-973-7773,https://reservation.knps.or.kr/information/campInfo.action?seqId=B011005,,"일반(16면), 카라반(3면),테이블,샤워장,개수대,전기,계곡,카라반,화롯대(공용)",공유누리(행정안전부)
camp-31153,소막골야영장,일반야영장,지리산국립공원,국가기관,,경상남도,산청군,부산경남,경상남도 산청군 삼장면 평촌리 산118-1,35.3508106805565,127.815804816378,055-972-7775,https://reservation.knps.or.kr/information/campInfo.action?seqId=B011006,,"일반(28면),테이블,Wifi,개수대,계곡,탐방로",공유누리(행정안전부)
camp-31157,중산리야영장,일반야영장,지리산국립공원,국가기관,,경상남도,산청군,부산경남,경상남도 산청군 시천면 지리산대로 345,35.3038056768501,127.749340963674,055-972-7785,https://reservation.knps.or.kr/information/campInfo.action?seqId=B011009,,"일반(17면),테이블,탐방로",공유누리(행정안전부)
camp-30906,국립지리산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상남도,함양군,부산경남,경상남도 함양군 마천면 음정길 152,35.3464446478742,127.643004332581,055-963-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0190,,"숙박시설(36개),산책로, 회의실(1), 체험프로그램(16개)",공유누리(행정안전부)
camp-30907,국립지리산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상남도,함양군,부산경남,경상남도 함양군 마천면 음정길 152,35.3464446478742,127.643004332581,055-963-8133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0190,,"야영장(8면),산책로, 회의실(1), 체험프로그램(16개)",공유누리(행정안전부)
camp-31139,백무동야영장,일반야영장,지리산국립공원,국가기관,,경상남도,함양군,부산경남,경상남도 함양군 마천면 강청리 148,35.3584414394624,127.679353567625,055-963-1260,https://reservation.knps.or.kr/information/campInfo.action?seqId=B011007,,"일반(47면),테이블,Wifi,개수대,전기,계곡,탐방로,화롯대",공유누리(행정안전부)
camp-31145,삼정자동차야영장,자동차야영장,가야산국립공원,국가기관,,경상남도,합천군,부산경남,경상남도 합천군 가야면 치인리 산16-1,35.783676303004,128.082096976618,055-930-8000,https://reservation.knps.or.kr/information/campInfo.action?seqId=B131001,,"자동차(19면),샤워장,개수대,계곡,탐방로",공유누리(행정안전부)
camp-31159,치인자동차야영장,자동차야영장,가야산국립공원,국가기관,,경상남도,합천군,부산경남,경상남도 합천군 가야면 치인4길 12,35.7940944920602,128.085469215595,055-930-8000,https://reservation.knps.or.kr/information/campInfo.action?seqId=B131003,,"자동차(26면),샤워장,개수대,계곡,탐방로,무장애",공유누리(행정안전부)
camp-30856,국립대야산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,문경시,대구경북,경상북도 문경시 가은읍 용추길 31-35,36.6709050719753,127.961978994408,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,,"숙박시설(32개),산책로, 세미나실(1), 체험프로그램(22개)",공유누리(행정안전부)
camp-30857,국립대야산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,문경시,대구경북,경상북도 문경시 가은읍 용추길 31-35,36.6709050719753,127.961978994408,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,,"야영장(10면),산책로, 세미나실(1), 체험프로그램(22개)",공유누리(행정안전부)
camp-30912,국립청옥산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,봉화군,대구경북,경상북도 봉화군 석포면 청옥로 1552-163,37.038689938663,128.995849242469,054-672-1051,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0183,,"숙박시설(15개),산책로, 체험프로그램(12개)",공유누리(행정안전부)
camp-30913,국립청옥산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,봉화군,대구경북,경상북도 봉화군 석포면 청옥로 1552-163,37.038689938663,128.995849242469,054-672-1051,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0183,,"야영장(30면),산책로, 체험프로그램(12개)",공유누리(행정안전부)
camp-30919,국립칠보산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,영덕군,대구경북,경상북도 영덕군 병곡면 칠보산길 587,36.6236450450679,129.368177309836,054-732-1607,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0182,,"숙박시설(42개),산책로, 숲속수련장(1), 체험프로그램(17개)",공유누리(행정안전부)
camp-30920,국립칠보산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,영덕군,대구경북,경상북도 영덕군 병곡면 칠보산길 587,36.6236450450679,129.368177309836,054-732-1607,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0182,,"야영장(31면),산책로, 숲속수련장(1), 체험프로그램(17개)",공유누리(행정안전부)
camp-30842,국립검마산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,영양군,대구경북,경상북도 영양군 수비면 검마산길 191,36.7451759944958,129.234001589706,054-682-9009,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0184,,"숙박시설(16개),반려견동반놀이터, 산책로, 체험프로그램(24개)",공유누리(행정안전부)
camp-30843,국립검마산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,영양군,대구경북,경상북도 영양군 수비면 검마산길 191,36.7451759944958,129.234001589706,054-682-9009,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0184,,"야영장(24면),반려견동반놀이터, 산책로, 체험프로그램(24개)",공유누리(행정안전부)
camp-30921,국립통고산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,울진군,대구경북,경상북도 울진군 금강송면 불영계곡로 880,36.9337018432227,129.191780424267,054-783-3167,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0193,,"숙박시설(24개),계곡 물놀이,산책로,어린이놀이시설, 체험프로그램(7개)",공유누리(행정안전부)
camp-30922,국립통고산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,울진군,대구경북,경상북도 울진군 금강송면 불영계곡로 880,36.9337018432227,129.191780424267,054-783-3167,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0193,,"야영장(24면),계곡 물놀이,산책로,어린이놀이시설, 체험프로그램(7개)",공유누리(행정안전부)
camp-30894,국립운문산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,경상북도,청도군,대구경북,경상북도 청도군 운문면 운문로 763,35.6483467486281,129.026207978756,054-373-1327,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0195,,",숲속의집,산림문화휴양관,숲속수련장,야영시설",공유누리(행정안전부)
camp-30895,국립운문산자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,경상북도,청도군,대구경북,경상북도 청도군 운문면 운문로 763,35.6483467486281,129.026207978756,054-373-1327,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0195,,"숙박시설(44개),산책로, 회의실(1), 체험프로그램(16개)",공유누리(행정안전부)
camp-31546,청도군 자전거공원 캠핑장,일반야영장,코레일관광개발,기타(위탁·민간),,경상북도,청도군,대구경북,경상북도 청도군 청도읍 유호리 39-5,35.5871043771266,128.766341515971,054-373-2425,http://www.railtrip.co.kr/homepage/cheongdo/0403.php,,"일반야영장(18면), 화장실,샤워실,취사시설",공유누리(행정안전부)
camp-31146,상의야영장,자동차야영장,주왕산국립공원,국가기관,,경상북도,청송군,대구경북,경상북도 청송군 주왕산면 상의리 362-2,36.3927735177679,129.142280766801,054-870-5341,https://reservation.knps.or.kr/information/campInfo.action?seqId=B071001,,"자동차(49면),테이블,샤워장,개수대,전기,탐방로,무장애",공유누리(행정안전부)
camp-30852,국립달음산자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,부산광역시,기장군,부산경남,부산광역시 기장군 일광면 화용길 299-106,35.3027054182869,129.185395479846,051-722-3023,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0202,,"숙박시설(24개),산책로, 회의실(2), 체험프로그램(16개)",공유누리(행정안전부)
camp-30880,국립신불산폭포자연휴양림,국·공립 휴양림,국립자연휴양림관리소,국가기관,,울산광역시,울주군,부산경남,울산광역시 울주군 상북면 청수골길 175,35.5259078033679,129.023177675589,052-254-2123,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0105,,"숙박시설(40개),산책로, 체험프로그램(16개)",공유누리(행정안전부)
camp-30881,국립신불산폭포자연휴양림 야영장,일반야영장,국립자연휴양림관리소,국가기관,,울산광역시,울주군,부산경남,울산광역시 울주군 상북면 청수골길 175,35.5259078033679,129.023177675589,052-254-2123,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0105,,"야영장(17면),산책로, 체험프로그램(16개)",공유누리(행정안전부)
camp-31299,십리포해수욕장 야영장,일반야영장,십리포영어조합법인,기타(위탁·민간),,인천광역시,옹진군,서울인천경기,인천광역시 옹진군 영흥면 내리 724-195번지,37.2819601928523,126.486332994035,0328866717,http://십리포해수욕장.kr/,,"22,취사장, 화장실, 샤워실 등",공유누리(행정안전부)
camp-31335,장경리해변 야영장,일반야영장,장경리영어조합법인,기타(위탁·민간),,인천광역시,옹진군,서울인천경기,인천광역시 옹진군 영흥면 내리 1626-38번지,37.2723486858455,126.44994496983,0328800450,http://www.장경리야영장.kr/index.php,,"23,취사장, 화장실, 샤워실 등",공유누리(행정안전부)
